Unnamed: 0,ShortName,RegionName,FullName,WebSite,PathToSoft
270,"ФГАОУ ВО «Белгородский государственный  национальный исследовательский университет», Белгородский государственный  национальный исследовательский университет, НИУ ""БелГУ""",Белгородская область,федеральное государственное автономное образовательное учреждение высшего образования «Белгородский государственный национальный исследовательский университет»,https://bsuedu.ru/bsu/,https://www.bsuedu.ru/bsu/accreditation2020/
271,"ВолГУ, ФГАОУ ВО «Волгоградский государственный университет», Волгоградский государственный университет, ФГАОУ ВО ВолГУ",Волгоградская область,федеральное государственное автономное образовательное учреждение высшего образования «Волгоградский государственный университет»,http://www.volsu.ru/,https://www.volsu.ru/Abitur/bachelor/perechen-programm.php?special=1
272,"ФГАОУ ВО «Государственный университет просвещения», Государственный университет просвещения, Просвет",г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Государственный университет просвещения»,https://guppros.ru/,https://guppros.ru/sveden/ovz
273,"ФГАОУ ВО «Дальневосточный федеральный университет», Дальневосточный федеральный университет, ФГАОУ ВО ДВФУ, ДВФУ",Приморский край,федеральное государственное автономное образовательное учреждение высшего образования «Дальневосточный федеральный университет»,https://www.dvfu.ru/,https://www.dvfu.ru/library/electronic-resources/test-accesses.php
274,"ФГАОУ ВО «Казанский (Приволжский) федеральный университет», ФГАОУ ВО КФУ, КФУ, Казанский федеральный университет, Казанский университет, Казанский (Приволжский) федеральный университет",Республика Татарстан (Татарстан),федеральное государственное автономное образовательное учреждение высшего образования «Казанский (Приволжский) федеральный университет»,https://kpfu.ru/,https://kpfu.ru/portal/docs/F684092915/15.03.06_Prilozhenie_4_B1.O.18_Osnovy_programmirovaniya_S_S__.pdf
275,Крымский федеральный университет имени В.И. Вернадского; ФГАОУ ВО «КФУ им. В.И. Вернадского»,Республика Крым,федеральное государственное автономное образовательное учреждение высшего образования «Крымский федеральный университет имени В.И. Вернадского»,https://cfuv.ru/,http://aca.cfuv.ru/departments/esc
276,Университет имени О.Е. Кутафина (МГЮА); МГЮА (Университет имени О.Е. Кутафина),г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Московский государственный юридический университет имени О.Е. Кутафина (МГЮА)»,https://msal.ru/,https://msal.ru/upload/medialibrary/232/Perechen-magisterskikh-programm-na-2022g.-_.pdf
277,"Московский политехнический университет, Московский Политех, Политех",г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Московский политехнический университет»,https://mospolytech.ru/,https://mospolytech.ru/postupayushchim/programmy-obucheniya/programmnoe-obespechenie-info-sistem/
278,"МФТИ, Физтех",г. Москва,федеральное государственное автономное образовательное учреждение высшего образования «Московский физико-технический институт (национальный исследовательский университет)»,https://mipt.ru/,https://pusk.mipt.ru/course/index.php?categoryid=15
279,"ФГАОУ ВО «Мурманский арктический университет», Мурманский арктический университет, ФГАОУ ВО «МАУ», МАУ",Мурманская область,федеральное государственное автономное образовательное учреждение высшего образования «Мурманский арктический университет»,https://www.mauniver.ru/,https://www.mauniver.ru/upload/iblock/8b1/Б1.В.01.06 Станд сертиф и упр кач ПО.pdf
280,"Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского, Нижегородский государственный университет им. Н.И. Лобачевского, ННГУ им. Н.И. Лобачевского, Университет Лобачевского, ННГУ",Нижегородская область,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского»,http://www.unn.ru/,http://www.unn.ru/site/about/news/studenty-nngu-nachnut-izuchat-arkhitekturu-risc-v
